"extension","instruction form","class","level0","level1","level2"
"avx512f","VALIGNQ imm, mem, Y, K, Y","turbo0","1235658424","0","0"
"avx512f","VALIGNQ imm, mem, Z, K, Z","turbo1","4312524","1175470467","0"
"avx512dq","VANDNPD X, X, K, X","turbo0","1095454120","0","0"
"avx512dq","VANDNPD Y, Y, K, Y","turbo0","1095760906","0","0"
"avx512dq","VANDNPD Z, Z, K, Z","turbo1","4592742","1093908542","0"
"avx512dq","VANDNPD mem, X, K, X","turbo0","1112252895","0","0"
"avx512dq","VANDNPD mem, Y, K, Y","turbo0","1112179412","0","0"
"avx512dq","VANDNPD mem, Z, K, Z","turbo1","4509735","1097529010","0"
"avx512dq","VANDNPS X, X, K, X","turbo0","1093258578","0","0"
"avx512dq","VANDNPS Y, Y, K, Y","turbo0","1095595147","0","0"
"avx512dq","VANDNPS Z, Z, K, Z","turbo1","4678811","1078345336","0"
"avx512dq","VANDNPS mem, X, K, X","turbo0","1112837096","0","0"
"avx512dq","VANDNPS mem, Y, K, Y","turbo0","1112416343","0","0"
"avx512dq","VANDNPS mem, Z, K, Z","turbo1","4033706","1097480272","0"
"avx512dq","VANDPD X, X, K, X","turbo0","1105163238","0","0"
"avx512dq","VANDPD Y, Y, K, Y","turbo0","1108817313","0","0"
"avx512dq","VANDPD Z, Z, K, Z","turbo1","4069629","1093854548","0"
"avx512dq","VANDPD mem, X, K, X","turbo0","1113878928","0","0"
"avx512dq","VANDPD mem, Y, K, Y","turbo0","1107689182","0","0"
"avx512dq","VANDPD mem, Z, K, Z","turbo1","4102006","1112254121","0"
"avx512dq","VANDPS X, X, K, X","turbo0","1107512104","0","0"
"avx512dq","VANDPS Y, Y, K, Y","turbo0","1095503436","0","0"
"avx512dq","VANDPS Z, Z, K, Z","turbo1","4169859","1091245386","0"
"avx512dq","VANDPS mem, X, K, X","turbo0","1112644561","0","0"
"avx512dq","VANDPS mem, Y, K, Y","turbo0","1112312640","0","0"
"avx512dq","VANDPS mem, Z, K, Z","turbo1","4738995","1102796123","0"
"avx512f","VBLENDMPD X, X, K, X","turbo0","1069201293","0","0"
"avx512f","VBLENDMPD Y, Y, K, Y","turbo0","1068676370","0","0"
"avx512f","VBLENDMPD Z, Z, K, Z","turbo1","4249851","1072089015","0"
"avx512f","VBLENDMPD mem, X, K, X","turbo0","1091396962","0","0"
"avx512f","VBLENDMPD mem, Y, K, Y","turbo0","1092197496","0","0"
"avx512f","VBLENDMPD mem, Z, K, Z","turbo1","4212208","1089377522","0"
"avx512f","VBLENDMPS X, X, K, X","turbo0","1068957334","0","0"
"avx512f","VBLENDMPS Y, Y, K, Y","turbo0","1069087103","0","0"
"avx512f","VBLENDMPS Z, Z, K, Z","turbo1","4218141","1076668195","0"
"avx512f","VBLENDMPS mem, X, K, X","turbo0","1091593884","0","0"
"avx512f","VBLENDMPS mem, Y, K, Y","turbo0","1091172175","0","0"
"avx512f","VBLENDMPS mem, Z, K, Z","turbo1","4253963","1097490032","0"
"avx512dq","VBROADCASTF32X2 X, K, Y","turbo0","1111246779","0","0"
"avx512dq","VBROADCASTF32X2 X, K, Z","turbo1","4225398","1154480646","0"
"avx512dq","VBROADCASTF32X2 mem, K, Y","turbo0","1109405678","0","0"
"avx512dq","VBROADCASTF32X2 mem, K, Z","turbo1","4001664","1099980957","0"
"avx512f","VBROADCASTF32X4 mem, K, Y","turbo0","1108412583","0","0"
"avx512f","VBROADCASTF32X4 mem, K, Z","turbo1","5298856","1099905501","0"
"avx512dq","VBROADCASTF32X8 mem, K, Z","turbo1","4333317","1099950313","0"
"avx512dq","VBROADCASTF64X2 mem, K, Y","turbo0","1108588992","0","0"
"avx512dq","VBROADCASTF64X2 mem, K, Z","turbo1","4133600","1100007995","0"
"avx512f","VBROADCASTF64X4 mem, K, Z","turbo1","4258251","1099718664","0"
"avx512dq","VBROADCASTI32X2 X, K, X","turbo0","1109674297","0","0"
"avx512dq","VBROADCASTI32X2 X, K, Y","turbo0","1111133812","0","0"
"avx512dq","VBROADCASTI32X2 X, K, Z","turbo1","4415721","1148987510","0"
"avx512dq","VBROADCASTI32X2 mem, K, X","turbo0","1108356102","0","0"
"avx512dq","VBROADCASTI32X2 mem, K, Y","turbo0","1109137747","0","0"
"avx512dq","VBROADCASTI32X2 mem, K, Z","turbo1","4178708","1099744641","0"
"avx512f","VBROADCASTI32X4 mem, K, Y","turbo0","1108449710","0","0"
"avx512f","VBROADCASTI32X4 mem, K, Z","turbo1","4494914","1099683369","0"
"avx512dq","VBROADCASTI32X8 mem, K, Z","turbo1","4351382","1099711713","0"
"avx512dq","VBROADCASTI64X2 mem, K, Y","turbo0","1108720292","0","0"
"avx512dq","VBROADCASTI64X2 mem, K, Z","turbo1","4202232","1099892568","0"
"avx512f","VBROADCASTI64X4 mem, K, Z","turbo1","4236174","1099893243","0"
"avx512f","VBROADCASTSD X, K, Y","turbo0","1165367983","0","0"
"avx512f","VBROADCASTSD X, K, Z","turbo1","4076350","1113447829","0"
"avx512f","VBROADCASTSD mem, K, Y","turbo0","1108316657","0","0"
"avx512f","VBROADCASTSD mem, K, Z","turbo1","4044714","1099755338","0"
"avx512f","VBROADCASTSS X, K, X","turbo0","1070134242","0","0"
"avx512f","VBROADCASTSS X, K, Y","turbo0","1165406956","0","0"
"avx512f","VBROADCASTSS X, K, Z","turbo1","4157367","1113581321","0"
"avx512f","VBROADCASTSS mem, K, X","turbo0","1109299498","0","0"
"avx512f","VBROADCASTSS mem, K, Y","turbo0","1109733422","0","0"
"avx512f","VBROADCASTSS mem, K, Z","turbo1","4143355","1099857014","0"
"avx512f","VCMPPD imm, X, X, K, K","turbo0","1149905980","0","0"
"avx512f","VCMPPD imm, Y, Y, K, K","turbo0","1145631166","0","0"
"avx512f","VCMPPD imm, Z, Z, K, K","turbo1","4203038","1119716331","0"
"avx512f","VCMPPD imm, mem, X, K, K","turbo0","1194064932","0","0"
"avx512f","VCMPPD imm, mem, Y, K, K","turbo0","1187730394","0","0"
"avx512f","VCMPPD imm, mem, Z, K, K","turbo1","4227513","1220495613","0"
"avx512f","VCMPPS imm, X, X, K, K","turbo0","1092480222","0","0"
"avx512f","VCMPPS imm, Y, Y, K, K","turbo0","1092757470","0","0"
"avx512f","VCMPPS imm, Z, Z, K, K","turbo1","4453775","1113658243","0"
"avx512f","VCMPPS imm, mem, X, K, K","turbo0","1126683659","0","0"
"avx512f","VCMPPS imm, mem, Y, K, K","turbo0","1126528605","0","0"
"avx512f","VCMPPS imm, mem, Z, K, K","turbo1","4834275","1135508779","0"
"avx512f","VCMPSD imm, X, X, K, K","turbo0","1101151363","0","0"
"avx512f","VCMPSD imm, mem, X, K, K","turbo0","1126446960","0","0"
"avx512f","VCMPSS imm, X, X, K, K","turbo0","1100859136","0","0"
"avx512f","VCMPSS imm, mem, X, K, K","turbo0","1127165893","0","0"
"avx512f","VCOMISD X, X","turbo0","1065867005","0","0"
"avx512f","VCOMISS X, X","turbo0","1066489509","0","0"
"avx512f","VCOMPRESSPD X, K, X","turbo0","1172790000","0","0"
"avx512f","VCOMPRESSPD X, K, mem","turbo0","1161521618","0","0"
"avx512f","VCOMPRESSPD Y, K, Y","turbo0","1173263923","0","0"
"avx512f","VCOMPRESSPD Y, K, mem","turbo0","1161713256","0","0"
"avx512f","VCOMPRESSPD Z, K, Z","turbo1","4132206","1179927425","0"
"avx512f","VCOMPRESSPD Z, K, mem","turbo1","4189499","1181437765","0"
"avx512f","VCOMPRESSPS X, K, X","turbo0","1172544310","0","0"
"avx512f","VCOMPRESSPS X, K, mem","turbo0","1161588272","0","0"
"avx512f","VCOMPRESSPS Y, K, Y","turbo0","1172775999","0","0"
"avx512f","VCOMPRESSPS Y, K, mem","turbo0","1161950314","0","0"
"avx512f","VCOMPRESSPS Z, K, Z","turbo1","5207598","1180372065","0"
"avx512f","VCOMPRESSPS Z, K, mem","turbo1","4286419","1181517322","0"
"avx512f","VCVTDQ2PD X, K, X","turbo0","1265497544","0","0"
"avx512f","VCVTDQ2PD X, K, Y","turbo0","1222708346","0","0"
"avx512f","VCVTDQ2PD Y, K, Z","turbo1","4140332","1156317172","0"
"avx512f","VCVTDQ2PD mem, K, X","turbo0","1320224115","0","0"
"avx512f","VCVTDQ2PD mem, K, Y","turbo0","1320173247","0","0"
"avx512f","VCVTDQ2PD mem, K, Z","turbo1","4146019","1189508176","0"
"avx512f","VCVTDQ2PS X, K, X","turbo0","1222847075","0","0"
"avx512f","VCVTDQ2PS Y, K, Y","turbo0","1222951390","0","0"
"avx512f","VCVTDQ2PS Z, K, Z","turbo1","4198185","1207173597","0"
"avx512f","VCVTDQ2PS mem, K, X","turbo0","1319760346","0","0"
"avx512f","VCVTDQ2PS mem, K, Y","turbo0","1319948551","0","0"
"avx512f","VCVTDQ2PS mem, K, Z","turbo1","4163680","1189593142","0"
"avx512f","VCVTPD2DQ Z, K, Y","turbo2","4065997","47403","1178961255"
"avx512f","VCVTPD2DQ mem, K, Y","turbo2","4351267","45195","1305441291"
"avx512f","VCVTPD2DQX X, K, X","turbo0","1080604167","0","0"
"avx512f","VCVTPD2DQX mem, K, X","turbo0","1103193921","0","0"
"avx512f","VCVTPD2DQY Y, K, X","turbo1","4394987","1165167906","0"
"avx512f","VCVTPD2DQY mem, K, X","turbo1","4373906","1235192364","0"
"avx512f","VCVTPD2PS Z, K, Y","turbo2","4345531","40572","1179014793"
"avx512f","VCVTPD2PS mem, K, Y","turbo2","4322170","44781","1305063182"
"avx512f","VCVTPD2PSX X, K, X","turbo0","1080384815","0","0"
"avx512f","VCVTPD2PSX mem, K, X","turbo0","1103412573","0","0"
"avx512f","VCVTPD2PSY Y, K, X","turbo1","4147435","1165099760","0"
"avx512f","VCVTPD2PSY mem, K, X","turbo1","4255631","1235184737","0"
"avx512dq","VCVTPD2QQ X, K, X","turbo0","1155015131","0","0"
"avx512dq","VCVTPD2QQ Y, K, Y","turbo1","17488171","1124723160","0"
"avx512dq","VCVTPD2QQ Z, K, Z","turbo2","4744324","42642","1118405453"
"avx512dq","VCVTPD2QQ mem, K, X","turbo0","1161971692","0","0"
"avx512dq","VCVTPD2QQ mem, K, Y","turbo1","4306330","1158765018","0"
"avx512dq","VCVTPD2QQ mem, K, Z","turbo1","3975833","1189549148","0"
"avx512f","VCVTPD2UDQ Z, K, Y","turbo2","4681880","44620","1178965586"
"avx512f","VCVTPD2UDQ mem, K, Y","turbo2","4620058","39905","1306172772"
"avx512f","VCVTPD2UDQX X, K, X","turbo0","1080332695","0","0"
"avx512f","VCVTPD2UDQX mem, K, X","turbo0","1103181303","0","0"
"avx512f","VCVTPD2UDQY Y, K, X","turbo1","4368261","1165188310","0"
"avx512f","VCVTPD2UDQY mem, K, X","turbo1","4165603","1235123055","0"
"avx512dq","VCVTPD2UQQ X, K, X","turbo0","1154219331","0","0"
"avx512dq","VCVTPD2UQQ Y, K, Y","turbo1","15293468","1127143990","0"
"avx512dq","VCVTPD2UQQ Z, K, Z","turbo2","4134951","44896","1207782400"
"avx512dq","VCVTPD2UQQ mem, K, X","turbo0","1163058351","0","0"
"avx512dq","VCVTPD2UQQ mem, K, Y","turbo1","4617990","1158479124","0"
"avx512dq","VCVTPD2UQQ mem, K, Z","turbo1","4120541","1189697303","0"
"avx512f","VCVTPH2PS X, K, X","turbo0","1222139189","0","0"
"avx512f","VCVTPH2PS X, K, Y","turbo0","1222792414","0","0"
"avx512f","VCVTPH2PS Y, K, Z","turbo2","4213984","44666","1121709197"
"avx512f","VCVTPH2PS mem, K, X","turbo0","1319664558","0","0"
"avx512f","VCVTPH2PS mem, K, Y","turbo0","1320056775","0","0"
"avx512f","VCVTPH2PS mem, K, Z","turbo1","4217460","1189560176","0"
"avx512f","VCVTPS2DQ X, K, X","turbo0","1222647701","0","0"
"avx512f","VCVTPS2DQ Y, K, Y","turbo0","1222812785","0","0"
"avx512f","VCVTPS2DQ Z, K, Z","turbo2","4193902","44643","1118554749"
"avx512f","VCVTPS2DQ mem, K, X","turbo0","1319472400","0","0"
"avx512f","VCVTPS2DQ mem, K, Y","turbo0","1320187161","0","0"
"avx512f","VCVTPS2DQ mem, K, Z","turbo1","4432828","1189477596","0"
"avx512f","VCVTPS2PD X, K, X","turbo0","1223403639","0","0"
"avx512f","VCVTPS2PD X, K, Y","turbo0","1222448687","0","0"
"avx512f","VCVTPS2PD Y, K, Z","turbo2","4278816","44758","1115457178"
"avx512f","VCVTPS2PD mem, K, X","turbo0","1319616335","0","0"
"avx512f","VCVTPS2PD mem, K, Y","turbo0","1320619732","0","0"
"avx512f","VCVTPS2PD mem, K, Z","turbo1","4161365","1189461899","0"
"avx512f","VCVTPS2PH imm, X, K, X","turbo0","1168703666","0","0"
"avx512f","VCVTPS2PH imm, X, K, mem","turbo0","1125098426","0","0"
"avx512f","VCVTPS2PH imm, Y, K, X","turbo1","4315141","1265410001","0"
"avx512f","VCVTPS2PH imm, Y, K, mem","turbo1","4035114","1101095180","0"
"avx512f","VCVTPS2PH imm, Z, K, Y","turbo2","4203730","43424","1316214549"
"avx512f","VCVTPS2PH imm, Z, K, mem","turbo2","4242390","44620","1130955130"
"avx512dq","VCVTPS2QQ X, K, X","turbo0","1145127116","0","0"
"avx512dq","VCVTPS2QQ X, K, Y","turbo1","4352779","1140916327","0"
"avx512dq","VCVTPS2QQ Y, K, Z","turbo2","5400653","90252","1213707590"
"avx512dq","VCVTPS2QQ mem, K, X","turbo0","1161971780","0","0"
"avx512dq","VCVTPS2QQ mem, K, Y","turbo1","4132191","1158830377","0"
"avx512dq","VCVTPS2QQ mem, K, Z","turbo1","4574504","1199611666","0"
"avx512f","VCVTPS2UDQ X, K, X","turbo0","1223668897","0","0"
"avx512f","VCVTPS2UDQ Y, K, Y","turbo0","1223461527","0","0"
"avx512f","VCVTPS2UDQ Z, K, Z","turbo2","4033794","44942","1122592255"
"avx512f","VCVTPS2UDQ mem, K, X","turbo0","1319973406","0","0"
"avx512f","VCVTPS2UDQ mem, K, Y","turbo0","1319725022","0","0"
"avx512f","VCVTPS2UDQ mem, K, Z","turbo1","4655268","1189498372","0"
"avx512dq","VCVTPS2UQQ X, K, X","turbo0","1243122654","0","0"
"avx512dq","VCVTPS2UQQ X, K, Y","turbo1","4316769","1142926932","0"
"avx512dq","VCVTPS2UQQ Y, K, Z","turbo2","4063335","81788","1168620561"
"avx512dq","VCVTPS2UQQ mem, K, X","turbo0","1207877128","0","0"
"avx512dq","VCVTPS2UQQ mem, K, Y","turbo1","4504425","1158674385","0"
"avx512dq","VCVTPS2UQQ mem, K, Z","turbo1","4199167","1199572399","0"
"avx512dq","VCVTQQ2PD X, K, X","turbo0","1141901598","0","0"
"avx512dq","VCVTQQ2PD Y, K, Y","turbo0","1210753330","0","0"
"avx512dq","VCVTQQ2PD Z, K, Z","turbo2","4232493","44896","1133382500"
"avx512dq","VCVTQQ2PD mem, K, X","turbo0","1162016003","0","0"
"avx512dq","VCVTQQ2PD mem, K, Y","turbo0","1208829039","0","0"
"avx512dq","VCVTQQ2PD mem, K, Z","turbo1","4346657","1189686851","0"
"avx512dq","VCVTQQ2PS Z, K, Y","turbo2","4143907","39583","1132124992"
"avx512dq","VCVTQQ2PS mem, K, Y","turbo2","4176741","44597","1168367246"
